Species,tip.label,Phylum,Class,Order,Genus,hla,fsa,hla_count,fsa_count,hla_logcount,fsa_logcount
Phialophora attinorum,Phialophora_attinorum,Ascomycota,Eurotiomycetes,Chaetothyriales,Phialophora,No,No,0,0,-Inf,-Inf
Aspergillus vadensis CBS 113365,Aspergillus_vadensis_CBS_113365,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,No,No,0,0,-Inf,-Inf
Trichophyton tonsurans CBS 112818,Trichophyton_tonsurans_CBS_112818,Ascomycota,Eurotiomycetes,Onygenales,Trichophyton,No,No,0,0,-Inf,-Inf
Monilinia fructigena,Monilinia_fructigena,Ascomycota,Leotiomycetes,Helotiales,Monilinia,No,No,0,0,-Inf,-Inf
Pseudogymnoascus sp. VKM F-3775,Pseudogymnoascus_sp._VKM_F-3775,Ascomycota,Leotiomycetes,Unknown,Pseudogymnoascus,No,No,0,0,-Inf,-Inf
Fusarium asiaticum,Fusarium_asiaticum,Ascomycota,Sordariomycetes,Hypocreales,Fusarium,No,No,0,0,-Inf,-Inf
Ganoderma boninense,Ganoderma_boninense,Basidiomycota,Agaricomycetes,Polyporales,Ganoderma,No,No,0,0,-Inf,-Inf
Batrachochytrium dendrobatidis JEL423,Batrachochytrium_dendrobatidis_JEL423,Chytridiomycota,Chytridiomycetes,Rhizophydiales,Batrachochytrium,No,No,0,0,-Inf,-Inf
Acaulospora colombiana,Acaulospora_colombiana,Mucoromycota,Glomeromycetes,Diversisporales,Acaulospora,No,No,0,0,-Inf,-Inf
Scutellospora calospora,Scutellospora_calospora,Mucoromycota,Glomeromycetes,Diversisporales,Scutellospora,No,No,0,0,-Inf,-Inf
Spiromyces aspiralis,Spiromyces_aspiralis,Zoopagomycota,Kickxellomycetes,Kickxellales,Spiromyces,No,No,0,0,-Inf,-Inf
Pyrenophora tritici-repentis Pt-1C-BFP,Pyrenophora_tritici-repentis_Pt-1C-BFP,Ascomycota,Dothideomycetes,Pleosporales,Pyrenophora,No,Yes,0,1,-Inf,0
Aspergillus indologenus CBS 114.80,Aspergillus_indologenus_CBS_114.80,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillus,No,Yes,0,1,-Inf,0
Tuber melanosporum,Tuber_melanosporum,Ascomycota,Pezizomycetes,Pezizales,Tuber,No,Yes,0,1,-Inf,0
Cyathus striatus,Cyathus_striatus,Basidiomycota,Agaricomycetes,Agaricales,Cyathus,No,Yes,0,1,-Inf,0
Dentiscutata heterogama,Dentiscutata_heterogama,Mucoromycota,Glomeromycetes,Diversisporales,Dentiscutata,No,Yes,0,1,-Inf,0
Mycena sanguinolenta,Mycena_sanguinolenta,Basidiomycota,Agaricomycetes,Agaricales,Mycena,Yes,Yes,9,2,2.197224577,0.693147181
Alternaria alternata,Alternaria_alternata,Ascomycota,Dothideomycetes,Pleosporales,Alternaria,Yes,Yes,7,1,1.945910149,0
Hanseniaspora uvarum,Hanseniaspora_uvarum,Ascomycota,Saccharomycetes,Saccharomycetales,Hanseniaspora,Yes,No,6,0,1.791759469,-Inf
Ogataea polymorpha,Ogataea_polymorpha,Ascomycota,Saccharomycetes,Saccharomycetales,Ogataea,Yes,No,6,0,1.791759469,-Inf
Pichia kudriavzevii,Pichia_kudriavzevii,Ascomycota,Saccharomycetes,Saccharomycetales,Pichia,Yes,No,6,0,1.791759469,-Inf
Fusarium falciforme,Fusarium_falciforme,Ascomycota,Sordariomycetes,Hypocreales,Fusarium,Yes,No,6,0,1.791759469,-Inf
Lentinula raphanica,Lentinula_raphanica,Basidiomycota,Agaricomycetes,Agaricales,Lentinula,Yes,Yes,6,1,1.791759469,0
Mycena galericulata,Mycena_galericulata,Basidiomycota,Agaricomycetes,Agaricales,Mycena,Yes,Yes,6,1,1.791759469,0
Mycena galopus ATCC 62051,Mycena_galopus_ATCC_62051,Basidiomycota,Agaricomycetes,Agaricales,Mycena,Yes,Yes,6,1,1.791759469,0
Pleurotus pulmonarius,Pleurotus_pulmonarius,Basidiomycota,Agaricomycetes,Agaricales,Pleurotus,Yes,Yes,6,1,1.791759469,0
Verticillium longisporum,Verticillium_longisporum,Ascomycota,Sordariomycetes,Glomerellales,Verticillium,Yes,No,5,0,1.609437912,-Inf
Lentinula edodes,Lentinula_edodes,Basidiomycota,Agaricomycetes,Agaricales,Lentinula,Yes,Yes,5,4,1.609437912,1.386294361
