"","Order","Order_size","Phylum","FDA_yes","FDA_no","FDA_frac"
"1","Saccharomycetales",18,"Ascomycota",8,10,0.444444444444444
"2","Hypocreales",105,"Ascomycota",1,104,0.00952380952380952
"3","Pleosporales",46,"Ascomycota",29,17,0.630434782608696
"4","Mucorales",18,"Mucoromycota",11,7,0.611111111111111
"5","Exobasidiales",2,"Basidiomycota",0,2,0
"6","Mycosphaerellales",19,"Ascomycota",14,5,0.736842105263158
"7","Agaricales",35,"Basidiomycota",26,9,0.742857142857143
"8","Onygenales",41,"Ascomycota",19,22,0.463414634146341
"9","Blastocladiales",2,"Blastocladiomycota",2,0,1
"10","Helotiales",40,"Ascomycota",20,20,0.5
"11","Neocallimastigales",4,"Chytridiomycota",2,2,0.5
"12","Polyporales",25,"Basidiomycota",8,17,0.32
"13","Trichosporonales",4,"Basidiomycota",1,3,0.25
"14","Botryosphaeriales",6,"Ascomycota",2,4,0.333333333333333
"15","Orbiliales",3,"Ascomycota",3,0,1
"16","Pezizales",11,"Ascomycota",9,2,0.818181818181818
"17","Eurotiales",124,"Ascomycota",37,87,0.298387096774194
"18","Aulographales",1,"Ascomycota",1,0,1
"19","Dothideales",5,"Ascomycota",3,2,0.6
"20","Basidiobolales",1,"Zoopagomycota",1,0,1
"21","Rhizophydiales",3,"Chytridiomycota",2,1,0.666666666666667
"22","Erysiphales",6,"Ascomycota",4,2,0.666666666666667
"23","Russulales",7,"Basidiomycota",6,1,0.857142857142857
"24","Cantharellales",9,"Basidiomycota",7,2,0.777777777777778
"25","Dacrymycetales",3,"Basidiomycota",2,1,0.666666666666667
"26","Chaetothyriales",26,"Ascomycota",18,8,0.692307692307692
"27","Caulochytriales",1,"Chytridiomycota",1,0,1
"28","Ceraceosorales",2,"Basidiomycota",1,1,0.5
"29","Microascales",3,"Ascomycota",0,3,0
"30","Sordariales",13,"Ascomycota",0,13,0
"31","Chytridiales",2,"Chytridiomycota",2,0,1
"32","Kickxellales",2,"Zoopagomycota",1,1,0.5
"33","Glomerellales",21,"Ascomycota",0,21,0
"34","Entomophthorales",1,"Zoopagomycota",1,0,1
"35","Diaporthales",4,"Ascomycota",0,4,0
"36","Coniochaetales",3,"Ascomycota",0,3,0
"37","Boletales",12,"Basidiomycota",5,7,0.416666666666667
"38","Tremellales",27,"Basidiomycota",15,12,0.555555555555556
"39","Xylariales",17,"Ascomycota",0,17,0
"40","Dimargaritales",1,"Zoopagomycota",1,0,1
"41","Diversisporales",2,"Mucoromycota",1,1,0.5
"42","Myriangiales",3,"Ascomycota",3,0,1
"43","Verrucariales",1,"Ascomycota",1,0,1
"44","Endogonales",2,"Mucoromycota",1,1,0.5
"45","Auriculariales",1,"Basidiomycota",1,0,1
"46","Atheliales",2,"Basidiomycota",2,0,1
"47","Harpellales",6,"Zoopagomycota",3,3,0.5
"48","Magnaporthales",6,"Ascomycota",0,6,0
"49","Gloeophyllales",3,"Basidiomycota",3,0,1
"50","Glomerales",6,"Mucoromycota",3,3,0.5
"51","Monoblepharidales",1,"Chytridiomycota",1,0,1
"52","Ophiostomatales",5,"Ascomycota",0,5,0
"53","Jaapiales",1,"Basidiomycota",1,0,1
"54","Microstromatales",2,"Basidiomycota",0,2,0
"55","Umbilicariales",1,"Ascomycota",1,0,1
"56","Leucosporidiales",1,"Basidiomycota",1,0,1
"57","Lineolatales",1,"Ascomycota",1,0,1
"58","Mortierellales",2,"Mucoromycota",0,2,0
"59","Mytilinidiales",1,"Ascomycota",0,1,0
"60","Malasseziales",1,"Basidiomycota",1,0,1
"61","Microbotryales",4,"Basidiomycota",3,1,0.75
"62","Microthyriales",1,"Ascomycota",0,1,0
"63","Mixiales",1,"Basidiomycota",1,0,1
"64","Togniniales",1,"Ascomycota",0,1,0
"65","Phaeomoniellales",1,"Ascomycota",1,0,1
"66","Cystofilobasidiales",1,"Basidiomycota",1,0,1
"67","Hymenochaetales",4,"Basidiomycota",4,0,1
"68","Capnodiales",1,"Ascomycota",1,0,1
"69","Spizellomycetales",3,"Chytridiomycota",2,1,0.666666666666667
"70","Taphrinales",1,"Ascomycota",0,1,0
"71","Incertae sedis",8,"Ascomycota",0,8,0
"72","Acrospermales",1,"Ascomycota",0,1,0
"73","Ustilaginales",8,"Basidiomycota",6,2,0.75
"74","Pucciniales",7,"Basidiomycota",5,2,0.714285714285714
"75","Cladosporiales",2,"Ascomycota",2,0,1
"76","Sporidiobolales",6,"Basidiomycota",2,4,0.333333333333333
"77","Sebacinales",2,"Basidiomycota",1,1,0.5
"78","Trechisporales",2,"Basidiomycota",1,1,0.5
"79","Geastrales",1,"Basidiomycota",1,0,1
"80","Synchytriales",1,"Chytridiomycota",1,0,1
"81","Zoopagales",1,"Zoopagomycota",1,0,1
"82","Tilletiales",2,"Basidiomycota",0,2,0
"83","Georgefischeriales",1,"Basidiomycota",1,0,1
"84","Entylomatales",1,"Basidiomycota",0,1,0
"85","Phaeotrichales",1,"Ascomycota",1,0,1
